Kenteken,Voertuigsoort,Merk,Handelsbenaming,Bruto BPM,Cilinderinhoud,Massa ledig voertuig,Toegestane maximum massa voertuig,Catalogusprijs,WAM verzekerd
TZ609J,Personenauto,VOLVO,XC60,8210,1969,1634,2505,62685,Ja
93RJGN,Personenauto,SEAT,IBIZA,4125,1390,1066,1599,,Ja
GK204P,Personenauto,VOLKSWAGEN,GOLF SPORTSVAN,4279,1395,1262,1880,31369,Ja
TP009J,Personenauto,MERCEDES-BENZ,SLK 200 KOMPRESSOR,15111,1796,1315,1705,,Ja
G846TG,Personenauto,OPEL,CROSSLAND X,4300,1199,1180,1835,30748,Ja
H326ND,Personenauto,PEUGEOT,108,1505,998,815,1240,15105,Ja
HR101N,Personenauto,PEUGEOT,308,1699,1560,1275,1870,26990,Ja
7XZL26,Personenauto,LAND ROVER,RANGE ROVER EVOQUE,10962,1999,1620,2350,64415,Ja
41TSDP,Personenauto,SEAT,LEON,5478,1595,1180,1783,,Ja
96TNZT,Personenauto,RENAULT,CLIO,4440,1598,1125,1640,,Ja
2KSX55,Personenauto,KIA,VENGA,4375,1396,1153,1710,19690,Ja
89TGLG,Personenauto,AUDI,AUDI A4,17025,2698,1605,2000,,Ja
08JBKR,Personenauto,MITSUBISHI,SPACE STAR,3520,1584,1135,1690,,Ja
9XRG89,Personenauto,VOLKSWAGEN,GOLF,351,1598,1214,1870,30813,Ja
39TRG1,Personenauto,CHEVROLET,AVEO,3399,1398,1058,1566,15495,Ja
NJ403H,Personenauto,BMW,BMW 335I,1099,2979,1742,2205,89156,Ja
G112RZ,Personenauto,KIA,NIRO,1402,1580,1390,1930,30840,Ja
H051JG,Personenauto,VOLKSWAGEN,POLO,969,999,1045,1610,21031,Ja
53TTF6,Personenauto,HYUNDAI,IX20,2845,1396,1153,1710,18015,Ja
K292NV,Personenauto,TOYOTA,TOYOTA AYGO,,998,805,1190,,Ja
GL043V,Personenauto,CITROEN,C4,2935,1199,1215,1810,26475,Ja
NF682X,Personenauto,OPEL,KARL / VIVA,1693,999,839,1353,12793,Ja
